
우리나라기후평년값
[검색조건]
검색구분 : 일별평년값
, 지점명 : 전체
, 기간 : 1991~2020년 06월 25일~07월 25일
지점명,지점번호,일시,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
영덕,277,07-02,      22.9,      27.3,      19.4,       8.2,      79.6,       5.2,,,    1001.9,    1006.7,       2.0
의성,278,07-02,      23.7,      29.2,      19.3,       8.1,      76.2,       4.3,,,     996.7,    1005.7,       1.0
구미,279,07-02,      24.1,      28.8,      20.3,      10.4,      77.1,       4.3,,,    1000.6,    1005.9,       1.2
영천,281,07-02,      23.9,      28.6,      20.0,       7.8,      75.8,       4.4,,,     995.6,    1006.2,       1.6
경주시,283,07-02,      24.3,      29.6,      20.4,       9.3,      78.5,       4.6,,,    1001.1,    1005.5,       2.2
경주시,283,07-02,      24.3,      29.6,      20.4,       9.3,      78.5,       4.6,,,    1001.1,    1005.5,       2.2
거창,284,07-02,      23.1,      27.9,      19.2,      10.7,      79.9,       4.3,,,     980.7,    1006.0,       1.2
합천,285,07-02,      23.9,      28.6,      20.2,      10.4,      75.5,       3.7,,,    1002.5,    1006.2,       1.4
밀양,288,07-02,      24.1,      28.6,      20.6,       9.6,      78.8,       3.7,,,    1005.1,    1006.5,       1.5
산청,289,07-02,      23.2,      27.6,      19.8,      11.2,      79.1,       4.1,,,     990.7,    1006.5,       1.5
거제,294,07-02,      23.1,      26.4,      20.6,      15.0,      82.0,       3.7,,,    1001.8,    1006.3,       2.0
남해,295,07-02,      23.5,      27.2,      20.7,      14.1,      80.8,       3.8,,,    1001.9,    1007.1,       1.3
강남,400,07-02,      24.8,      28.7,      21.8,      15.0,,,,,,,       1.7
서초,401,07-02,      24.9,      29.5,      21.8,      13.0,,,,,,,       1.2
강동,402,07-02,      24.6,      28.9,      21.3,      13.8,,,,,,,       1.5
송파,403,07-02,      24.9,      29.1,      21.9,      13.8,,,,,,,       1.7
강서,404,07-02,      23.9,      28.0,      21.1,      12.9,,,,,,,       1.9
양천,405,07-02,      24.9,      29.0,      21.9,      12.4,,,,,,,       1.5
도봉,406,07-02,      24.0,      28.6,      20.6,      15.9,,,,,,,       1.1
노원,407,07-02,      23.8,      28.5,      20.2,      14.1,,,,,,,       1.4
동대문,408,07-02,      24.7,      29.0,      21.7,      14.6,,,,,,,       1.9
중랑,409,07-02,      24.7,      28.6,      21.8,      14.3,,,,,,,       2.1
기상청,410,07-02,      24.1,      28.2,      21.1,      13.0,,,,,,,       1.6
마포,411,07-02,      24.5,      28.6,      21.5,      13.7,,,,,,,       2.2
서대문,412,07-02,      23.5,      28.2,      20.4,      12.7,,,,,,,       1.3
광진,413,07-02,      24.8,      28.9,      21.7,      12.4,,,,,,,       1.7
성북,414,07-02,      23.8,      27.9,      20.8,      14.7,,,,,,,       1.8
용산,415,07-02,      24.8,      29.0,      21.9,      12.3,,,,,,,       2.0
은평,416,07-02,      23.7,      28.0,      20.4,      10.8,,,,,,,       1.7
금천,417,07-02,      24.1,      27.8,      21.3,      12.0,,,,,,,       2.1
중구,419,07-02,      23.2,      27.8,      20.1,      12.4,,,,,,,       1.5
성동,421,07-02,      24.5,      28.2,      21.6,      13.0,,,,,,,       2.2
구로,423,07-02,      23.9,      28.2,      20.7,      12.6,,,,,,,       2.0
강북*,424,07-02,      24.7,      28.8,      21.5,      14.5,,,,,,,       1.7
남현,425,07-02,      23.4,      27.9,      19.9,      19.4,,,,,,,       1.1
부천,433,07-02,      23.9,      27.7,      21.2,      13.2,,,,,,,       1.3
안양,434,07-02,      23.9,      27.4,      21.1,      16.1,,,,,,,       2.1
광명,437,07-02,      24.1,      27.9,      21.1,      14.6,,,,,,,       2.0
군포,438,07-02,      23.9,      27.8,      21.2,      16.2,,,,,,,       1.6
김포,441,07-02,      23.2,      27.1,      20.3,      12.8,,,,,,,       1.7
하남,444,07-02,      24.0,      28.3,      20.6,      11.3,,,,,,,       0.8
의왕,445,07-02,      23.0,      27.1,      19.8,      16.1,,,,,,,       1.0
포천,504,07-02,      24.0,      28.9,      20.2,      13.4,,,,,,,       1.4
가평조종,505,07-02,      22.8,      27.9,      18.9,      13.6,,,,,,,       1.0
영등포,510,07-02,      24.8,      28.9,      22.0,      13.0,,,,,,,       1.7
인천연수,512,07-02,      23.7,      27.9,      20.9,      11.6,,,,,,,       1.7
안성,516,07-02,      24.4,      29.0,      21.0,      12.1,,,,,,,       1.2
간성,517,07-02,      22.1,      25.7,      19.0,      11.7,,,,,,,       1.3
평창,526,07-02,      22.1,      27.2,      18.4,      16.2,,,,,,,       1.1
의정부,532,07-02,      23.7,      28.3,      20.2,      14.0,,,,,,,       1.0
횡성,536,07-02,      23.4,      28.9,      19.7,      16.2,,,,,,,       1.0
고양,540,07-02,      23.6,      28.6,      20.0,      12.9,,,,,,,       1.1
남양주,541,07-02,      23.7,      28.5,      20.0,      14.3,,,,,,,       1.0
안산,545,07-02,      23.4,      28.2,      19.9,      12.5,,,,,,,       1.6
경기광주,546,07-02,      23.6,      28.2,      20.3,      13.8,,,,,,,       1.5
여주,548,07-02,      23.7,      28.5,      20.3,      11.9,,,,,,,       1.1
용인,549,07-02,      23.6,      28.0,      20.0,      16.6,,,,,,,       1.4
오산,550,07-02,      24.0,      28.8,      20.6,      14.6,,,,,,,       1.2
평택,551,07-02,      24.5,      29.0,      21.1,      12.6,,,,,,,       1.7
화천,555,07-02,      23.2,      28.9,      19.3,      12.2,,,,,,,       0.9
양구,556,07-02,      22.6,      28.4,      19.0,      12.0,,,,,,,       1.0
시흥,565,07-02,      23.8,      27.8,      21.0,      12.2,,,,,,,       1.8
구리,569,07-02,      24.3,      28.8,      20.9,      13.7,,,,,,,       1.3
금곡,570,07-02,      23.0,      27.1,      19.9,      11.7,,,,,,,       1.4
화성,571,07-02,      23.4,      27.7,      20.4,      12.1,,,,,,,       1.4
성남,572,07-02,      24.5,      28.8,      21.3,      14.6,,,,,,,       1.2
과천,590,07-02,      23.9,      28.4,      20.5,      15.2,,,,,,,       1.8
진부령,595,07-02,      20.2,      24.5,      17.0,      12.4,,,,,,,       2.5
양주,598,07-02,      23.8,      28.6,      19.9,      12.5,,,,,,,       1.5
단양,601,07-02,      23.7,      28.9,      19.8,      12.5,,,,,,,       0.8
진천,602,07-02,      23.4,      28.1,      19.8,      13.2,,,,,,,       1.2
괴산,603,07-02,      23.4,      28.1,      19.6,      14.2,,,,,,,       1.1
옥천,604,07-02,      23.9,      28.5,      20.4,      12.5,,,,,,,       1.0
세종연서,611,07-02,      23.5,      28.3,      20.0,      13.7,,,,,,,       1.2
공주,612,07-02,      24.1,      28.6,      20.7,      13.3,,,,,,,       1.4
서천,614,07-02,      23.6,      27.3,      21.0,      13.5,,,,,,,       2.1
논산,615,07-02,      24.0,      28.4,      21.0,      13.0,,,,,,,       1.5
당진,616,07-02,      23.1,      27.5,      20.2,      12.5,,,,,,,       2.1
청양,618,07-02,      23.4,      27.8,      19.9,      13.3,,,,,,,       1.2
음성,619,07-02,      23.5,      28.4,      19.6,      14.4,,,,,,,       1.4
증평,623,07-02,      23.9,      28.7,      20.3,      12.4,,,,,,,       1.2
태안,627,07-02,      23.1,      26.9,      20.4,      14.0,,,,,,,       1.8
예산,628,07-02,      24.1,      28.7,      20.9,      11.6,,,,,,,       1.9
아산,634,07-02,      24.0,      28.5,      20.9,      10.5,,,,,,,       1.9
계룡,636,07-02,      23.3,      27.8,      19.9,      14.1,,,,,,,       1.1
오월드,642,07-02,      24.7,      29.0,      21.4,      12.1,,,,,,,       1.3
세천,643,07-02,      23.8,      28.4,      20.2,      11.9,,,,,,,       1.0
장동,648,07-02,      24.0,      28.3,      20.6,      12.2,,,,,,,       1.1
부평,649,07-02,      23.8,      28.9,      20.0,      13.0,,,,,,,       0.6
연천청산,652,07-02,      24.0,      28.9,      20.1,      11.0,,,,,,,       1.1
양양,670,07-02,      22.6,      26.4,      19.6,      13.4,,,,,,,       1.9
사북,674,07-02,      19.7,      24.1,      16.2,      18.8,,,,,,,       2.8
무안,699,07-02,      23.5,      26.9,      20.8,      13.0,,,,,,,       1.9
무주,701,07-02,      23.0,      27.8,      19.2,      13.4,,,,,,,       1.2
익산,702,07-02,      24.2,      28.4,      21.3,      14.7,,,,,,,       1.7
진안,703,07-02,      22.3,      26.5,      19.0,      16.0,,,,,,,       1.5
담양,706,07-02,      23.8,      27.5,      20.7,      14.1,,,,,,,       1.7
광산,708,07-02,      24.3,      28.2,      21.0,      12.6,,,,,,,       1.8
구례,709,07-02,      24.4,      28.8,      21.1,      12.1,,,,,,,       1.2
나주,710,07-02,      24.1,      28.1,      21.2,      13.2,,,,,,,       1.5
순천시,712,07-02,      24.0,      27.5,      21.4,      14.2,,,,,,,       1.4
광양읍,713,07-02,      23.9,      28.0,      21.0,      13.9,,,,,,,       0.9
조선대,722,07-02,      24.1,      27.9,      21.2,      13.3,,,,,,,       1.8
거문도,723,07-02,      22.6,      25.3,      20.9,      12.3,,,,,,,       3.0
추자도,724,07-02,      22.5,      24.8,      20.7,      10.8,,,,,,,       3.5
장성,730,07-02,      23.7,      27.9,      20.6,      13.7,,,,,,,       1.7
영암,731,07-02,      24.0,      27.6,      21.3,      13.2,,,,,,,       2.1
보성,732,07-02,      22.6,      26.2,      19.9,      13.8,,,,,,,       1.8
완주,734,07-02,      24.3,      28.9,      20.9,      15.7,,,,,,,       1.7
김제,737,07-02,      24.2,      28.6,      21.5,      12.9,,,,,,,       2.2
화순,741,07-02,      23.8,      28.2,      20.8,      14.5,,,,,,,       0.9
함평,754,07-02,      24.0,      27.7,      21.3,      13.0,,,,,,,       1.8
곡성,768,07-02,      23.9,      28.4,      20.6,      12.6,,,,,,,       1.2
성판악,782,07-02,      20.7,      23.9,      17.7,      22.1,,,,,,,       2.5
풍암,788,07-02,      24.3,      28.4,      21.2,      15.0,,,,,,,       1.3
압해도,789,07-02,      23.2,      26.5,      20.9,      12.0,,,,,,,       2.7
영양,801,07-02,      22.3,      27.4,      18.6,       9.8,,,,,,,       1.3
성주,810,07-02,      24.3,      28.9,      20.6,       9.9,,,,,,,       1.4
고령,812,07-02,      24.0,      28.4,      20.5,      10.4,,,,,,,       1.1
청도,813,07-02,      24.3,      28.8,      20.7,      10.1,,,,,,,       1.5
예천,815,07-02,      23.4,      28.4,      19.6,      11.9,,,,,,,       1.1
김천,822,07-02,      24.3,      29.4,      20.2,      10.2,,,,,,,       0.8
군위,823,07-02,      23.8,      29.2,      19.9,       8.4,,,,,,,       1.3
칠곡,825,07-02,      24.6,      29.2,      21.2,       9.6,,,,,,,       1.9
경산,827,07-02,      25.0,      30.0,      21.5,       9.5,,,,,,,       1.9
달성,828,07-02,      24.8,      29.4,      21.4,      10.0,,,,,,,       1.9
대구서구,846,07-02,      25.1,      29.6,      21.5,       8.8,,,,,,,       1.8
신암,860,07-02,      25.0,      29.2,      21.5,       8.0,      73.9,       3.8,       7.7,,     999.5,    1006.3,       2.1
완산,864,07-02,      24.6,      28.8,      21.4,      11.9,      79.7,       3.2,       8.0,       3.0,     999.2,    1005.4,       1.8
삼척,876,07-02,      22.6,      26.2,      19.9,      12.8,,,,,,,       1.7
울기,901,07-02,      20.9,      24.0,      19.0,       9.1,,,,,,,       2.9
삼천포,907,07-02,      23.2,      26.4,      21.1,      12.6,,,,,,,       1.7
영도,910,07-02,      21.4,      24.2,      19.7,      14.3,,,,,,,       3.4
고성,918,07-02,      23.8,      27.4,      21.2,      12.5,,,,,,,       2.3
창녕,919,07-02,      25.0,      29.4,      21.5,      10.0,,,,,,,       2.0
함안,920,07-02,      24.3,      29.1,      21.0,      12.0,,,,,,,       1.4
가덕도,921,07-02,      22.4,      25.7,      20.4,      11.3,,,,,,,       3.6
기장,923,07-02,      23.1,      27.0,      20.3,      12.3,,,,,,,       1.7
간절곶,924,07-02,      21.0,      23.5,      19.1,       9.8,,,,,,,       3.8
하동,932,07-02,      24.4,      28.5,      21.3,      14.5,,,,,,,       1.2
해운대,937,07-02,      22.8,      26.5,      20.4,      12.8,,,,,,,       2.3
부산진,938,07-02,      24.0,      27.6,      21.4,      14.1,,,,,,,       2.1
동래,940,07-02,      24.1,      27.8,      21.4,      13.1,,,,,,,       2.0
북구,941,07-02,      23.8,      27.4,      21.2,      12.1,,,,,,,       2.2
부산남구,942,07-02,      23.6,      26.9,      21.3,      13.7,,,,,,,       2.0
정자,949,07-02,      23.2,      27.2,      19.6,       9.9,,,,,,,       2.0
속초,90,07-03,      22.4,      25.8,      19.4,      10.4,      82.3,       5.4,,,    1002.9,    1005.0,       2.0
철원,95,07-03,      22.9,      27.4,      19.1,      10.8,      79.9,       5.0,,,     987.3,    1004.9,       1.8
동두천,98,07-03,      23.4,      28.4,      19.7,      11.8,      78.4,       4.5,,,     992.2,    1004.9,       1.4
파주,99,07-03,      23.1,      28.0,      19.6,      12.5,      83.2,       4.8,,,    1001.0,    1004.4,       1.4
대관령,100,07-03,      18.6,      22.8,      15.4,      11.8,      85.4,       5.2,,,     915.9,    1005.4,       3.2
춘천,101,07-03,      24.0,      28.7,      20.2,      12.4,      78.6,       5.1,,,     996.5,    1005.1,       1.1
백령도,102,07-03,      21.0,      24.5,      18.4,       4.4,      87.6,       5.4,       7.2,,     988.5,    1003.8,       4.0
강릉,105,07-03,      23.7,      27.3,      20.5,       9.3,      74.1,       5.2,,,    1002.3,    1005.4,       2.0
동해,106,07-03,      22.2,      25.8,      19.4,      10.0,      82.3,       5.2,,,    1000.9,    1005.2,       1.9
서울,108,07-03,      24.1,      28.0,      21.0,      13.4,      77.0,       4.2,       7.3,       3.8,     995.3,    1005.1,       2.2
인천,112,07-03,      23.0,      26.5,      20.5,      10.8,      85.1,       5.3,       7.3,       3.7,     997.0,    1005.0,       2.5
원주,114,07-03,      24.1,      28.8,      20.3,      11.9,      75.7,       4.4,,,     988.2,    1005.1,       1.0
울릉도,115,07-03,      21.3,      24.2,      19.1,       7.4,      86.2,       4.9,       7.4,       3.9,     980.8,    1006.0,       3.4
수원,119,07-03,      23.9,      28.2,      20.7,      12.0,      81.3,       4.5,       7.3,       3.8,    1001.4,    1005.5,       1.7
영월,121,07-03,      23.0,      28.3,      19.0,      12.4,      78.5,       4.4,,,     978.2,    1005.3,       1.2
충주,127,07-03,      24.0,      28.8,      20.1,      10.0,      74.0,       4.5,,,     994.3,    1005.4,       1.4
서산,129,07-03,      23.1,      27.2,      20.0,       9.8,      85.1,       4.3,,,    1002.6,    1005.5,       2.6
울진,130,07-03,      21.9,      25.6,      18.9,       8.9,      84.6,       5.2,,,     999.8,    1005.5,       2.6
청주,131,07-03,      24.6,      28.9,      21.3,      11.9,      74.9,       4.4,       7.7,       4.0,     998.8,    1005.4,       1.7
대전,133,07-03,      24.3,      28.2,      21.0,      11.4,      80.0,       4.4,       7.6,       3.7,     997.6,    1005.5,       1.8
추풍령,135,07-03,      22.9,      27.5,      19.2,      10.2,      79.6,       4.2,,,     977.9,    1005.6,       1.7
안동,136,07-03,      23.6,      28.5,      19.8,       9.8,      78.4,       4.8,       7.4,       3.9,     989.8,    1005.8,       1.4
상주,137,07-03,      23.5,      28.1,      20.2,      13.4,      81.0,       3.8,,,     993.7,    1004.8,       1.1
포항,138,07-03,      24.2,      27.6,      21.3,       8.5,      79.6,       4.8,       7.4,       3.9,    1005.8,    1006.2,       2.3
군산,140,07-03,      23.6,      27.1,      20.9,      12.9,      87.0,       4.0,,,    1002.6,    1005.6,       2.9
울산,152,07-03,      23.9,      27.8,      20.9,       9.6,      80.6,       4.0,       7.5,,    1001.3,    1006.1,       1.9
창원,155,07-03,      23.7,      27.3,      21.2,      11.5,      83.1,       3.7,       7.7,,    1003.5,    1006.0,       2.0
광주,156,07-03,      24.3,      28.1,      21.4,      13.3,      82.5,       3.3,       8.2,,     997.5,    1005.7,       2.4
부산,159,07-03,      22.7,      25.8,      20.6,      12.5,      86.2,       4.3,       7.8,       3.4,     998.3,    1006.3,       3.5
통영,162,07-03,      22.8,      25.9,      20.6,      12.6,      87.3,       3.7,,,    1003.1,    1006.7,       2.5
목포,165,07-03,      23.4,      26.5,      21.1,      10.4,      87.9,       3.5,       8.0,       3.1,    1001.2,    1006.0,       3.3
여수,168,07-03,      22.9,      25.5,      21.0,      11.5,      86.3,       3.7,       8.0,       3.6,     998.7,    1006.4,       3.4
흑산도,169,07-03,      21.4,      24.5,      19.0,      11.2,      93.3,       2.9,       8.3,,     996.3,    1005.3,       4.8
완도,170,07-03,      23.2,      26.5,      20.7,      11.8,      86.2,       3.3,,,    1002.6,    1006.1,       3.0
고창,172,07-03,      23.8,      27.8,      20.8,      15.3,      89.4,       3.5,,,     999.9,    1005.8,       2.4
제주,184,07-03,      24.6,      27.8,      22.2,       9.7,      80.0,       4.4,       7.6,       4.3,    1003.6,    1006.1,       2.9
고산,185,07-03,      22.9,      25.2,      21.3,       9.3,      91.9,       3.3,,,     997.7,    1006.0,       5.1
성산,188,07-03,      23.4,      26.3,      21.0,      10.8,      87.2,       3.4,,,    1004.5,    1006.6,       2.8
서귀포,189,07-03,      23.9,      26.5,      22.0,      12.0,      87.9,       2.9,       8.4,       2.8,    1000.4,    1006.3,       2.3
진주,192,07-03,      23.9,      28.0,      20.7,      12.9,      81.7,       4.1,,,    1003.1,    1006.0,       1.6
강화,201,07-03,      22.5,      26.4,      19.2,       9.9,      83.1,       5.3,,,    1000.2,    1005.6,       2.0
양평,202,07-03,      23.9,      28.7,      20.1,      13.1,      78.3,       5.1,,,    1000.5,    1006.0,       1.2
이천,203,07-03,      23.6,      28.4,      19.8,      10.5,      76.6,       4.9,,,     996.6,    1005.3,       1.3
인제,211,07-03,      22.5,      27.7,      18.5,      12.3,      77.3,       5.3,,,     982.8,    1005.4,       1.7
홍천,212,07-03,      23.5,      28.9,      19.4,      12.3,      74.9,       5.1,,,     989.6,    1005.6,       1.1
태백,216,07-03,      20.3,      25.1,      16.4,      12.2,      77.6,       4.8,,,     926.3,    1004.8,       1.6
정선군,217,07-03,      22.3,      28.0,      18.3,      20.3,      78.0,       4.4,,,     970.7,    1005.2,       1.5
제천,221,07-03,      22.6,      27.7,      18.6,      12.3,      76.3,       5.1,,,     976.3,    1005.7,       1.3
보은,226,07-03,      23.0,      27.7,      19.3,      12.4,      77.6,       4.5,,,     985.6,    1005.2,       1.2
천안,232,07-03,      23.7,      28.3,      20.0,      10.4,      78.2,       4.9,,,    1001.5,    1005.4,       1.6
보령,235,07-03,      23.2,      26.8,      20.3,       9.8,      84.8,       4.9,,,    1003.5,    1005.7,       2.3
부여,236,07-03,      23.9,      28.3,      20.6,      12.0,      81.3,       4.4,,,    1004.3,    1005.8,       1.3
금산,238,07-03,      23.6,      28.5,      19.7,      12.7,      76.8,       4.7,,,     986.3,    1005.6,       1.2
부안,243,07-03,      23.7,      27.9,      20.8,      13.3,      82.3,       4.5,,,    1004.7,    1005.8,       1.8
임실,244,07-03,      22.9,      27.5,      19.4,      14.8,      80.5,       3.8,,,     978.1,    1005.9,       1.4
정읍,245,07-03,      24.2,      28.7,      20.8,      14.6,      79.2,       4.0,,,    1000.6,    1005.8,       1.3
남원,247,07-03,      23.9,      28.4,      20.4,      13.5,      80.3,       4.1,,,     994.5,    1006.0,       1.4
장수,248,07-03,      22.1,      26.4,      18.5,      16.5,      82.1,       3.8,,,     960.1,    1005.7,       1.8
영광군,252,07-03,      23.8,      27.6,      20.8,      10.8,      85.2,       3.8,,,    1001.0,    1005.2,       2.2
김해시,253,07-03,      24.5,      28.6,      21.6,       8.1,      80.0,       4.9,,,     999.1,    1005.8,       2.0
순창군,254,07-03,      23.8,      28.3,      20.3,      17.4,      81.0,       4.1,,,     991.0,    1005.4,       1.6
양산시,257,07-03,      24.7,      28.9,      21.7,      11.1,      78.5,       3.9,,,    1004.7,    1006.4,       2.5
강진군,259,07-03,      23.9,      27.3,      21.1,       7.3,      84.7,       3.4,,,    1004.5,    1005.9,       2.2
장흥,260,07-03,      23.4,      27.1,      20.6,      11.2,      83.5,       3.2,,,    1001.2,    1006.1,       1.8
해남,261,07-03,      23.4,      27.0,      20.8,      10.0,      84.3,       3.6,,,    1004.2,    1006.3,       2.4
고흥,262,07-03,      23.2,      26.9,      20.3,      11.1,      81.8,       3.5,,,    1000.5,    1006.4,       1.5
의령군,263,07-03,      24.2,      28.7,      20.5,      12.7,      82.5,       3.6,,,    1004.0,    1005.6,       1.3
함양군,264,07-03,      23.7,      28.5,      19.3,      12.8,      84.5,       3.8,,,     988.3,    1005.4,       1.0
진도군,268,07-03,      23.5,      26.9,      20.8,      11.1,,,,,,,       2.0
봉화,271,07-03,      21.7,      27.0,      17.2,      12.2,      79.5,       4.5,,,     969.5,    1005.1,       1.1
영주,272,07-03,      23.0,      27.9,      19.0,      13.2,      76.8,       4.9,,,     981.9,    1005.3,       1.6
문경,273,07-03,      22.9,      27.7,      19.1,      12.7,      80.0,       4.7,,,     986.2,    1005.6,       1.2
청송군,276,07-03,      22.6,      28.2,      18.3,      11.7,      81.7,       4.4,,,     982.0,    1005.4,       1.1
영덕,277,07-03,      22.9,      27.3,      19.4,       8.9,      79.8,       5.5,,,    1002.0,    1006.7,       2.0
의성,278,07-03,      23.7,      29.3,      19.3,       8.9,      76.4,       4.6,,,     996.7,    1005.7,       1.0
구미,279,07-03,      24.2,      29.0,      20.3,      11.5,      77.0,       4.7,,,    1000.6,    1005.9,       1.1
영천,281,07-03,      23.9,      28.6,      20.0,       9.7,      76.0,       4.6,,,     995.6,    1006.1,       1.7
경주시,283,07-03,      24.2,      29.3,      20.4,      10.9,      79.1,       4.6,,,    1001.3,    1005.7,       2.1
경주시,283,07-03,      24.2,      29.3,      20.4,      10.9,      79.1,       4.6,,,    1001.3,    1005.7,       2.1
거창,284,07-03,      23.2,      28.1,      19.2,      13.4,      79.8,       4.6,,,     980.7,    1005.9,       1.2
합천,285,07-03,      24.1,      28.9,      20.3,      12.8,      75.4,       4.1,,,    1002.4,    1006.1,       1.4
밀양,288,07-03,      24.3,      28.9,      20.7,      11.4,      78.6,       4.0,,,    1005.0,    1006.4,       1.5
산청,289,07-03,      23.4,      27.9,      19.9,      14.6,      78.9,       4.4,,,     990.6,    1006.4,       1.4
거제,294,07-03,      23.3,      26.6,      20.7,      15.3,      81.3,       4.0,,,    1001.7,    1006.2,       2.0
남해,295,07-03,      23.7,      27.6,      20.9,      13.7,      80.4,       4.1,,,    1001.8,    1007.0,       1.4
강남,400,07-03,      24.8,      28.8,      21.7,      14.8,,,,,,,       1.7
서초,401,07-03,      25.0,      29.6,      21.7,      12.8,,,,,,,       1.3
강동,402,07-03,      24.7,      29.1,      21.2,      13.9,,,,,,,       1.5
송파,403,07-03,      25.0,      29.2,      21.8,      13.7,,,,,,,       1.7
강서,404,07-03,      24.0,      28.1,      21.1,      12.7,,,,,,,       1.8
양천,405,07-03,      25.0,      29.1,      21.9,      11.9,,,,,,,       1.5
도봉,406,07-03,      24.1,      28.7,      20.5,      15.1,,,,,,,       1.1
노원,407,07-03,      23.9,      28.7,      20.1,      13.6,,,,,,,       1.4
동대문,408,07-03,      24.8,      29.2,      21.7,      14.1,,,,,,,       1.8
중랑,409,07-03,      24.9,      28.9,      21.8,      14.2,,,,,,,       2.1
기상청,410,07-03,      24.3,      28.3,      21.0,      12.5,,,,,,,       1.6
마포,411,07-03,      24.6,      28.7,      21.5,      12.9,,,,,,,       2.2
서대문,412,07-03,      23.6,      28.3,      20.3,      12.4,,,,,,,       1.3
광진,413,07-03,      24.9,      29.1,      21.7,      12.9,,,,,,,       1.7
성북,414,07-03,      23.9,      28.1,      20.8,      14.9,,,,,,,       1.7
용산,415,07-03,      24.9,      29.1,      21.9,      11.7,,,,,,,       2.0
은평,416,07-03,      23.8,      28.1,      20.4,      11.1,,,,,,,       1.6
금천,417,07-03,      24.2,      27.9,      21.3,      11.3,,,,,,,       2.1
중구,419,07-03,      23.2,      28.0,      20.1,      11.4,,,,,,,       1.5
성동,421,07-03,      24.6,      28.3,      21.6,      12.9,,,,,,,       2.2
구로,423,07-03,      23.9,      28.3,      20.7,      12.8,,,,,,,       2.0
강북*,424,07-03,      24.8,      28.9,      21.5,      15.0,,,,,,,       1.7
남현,425,07-03,      23.5,      28.2,      19.8,      18.1,,,,,,,       1.0
부천,433,07-03,      24.0,      27.8,      21.2,      13.2,,,,,,,       1.3
안양,434,07-03,      23.9,      27.5,      21.1,      15.7,,,,,,,       2.1
광명,437,07-03,      24.2,      28.0,      21.1,      13.7,,,,,,,       2.0
군포,438,07-03,      24.0,      27.9,      21.1,      15.8,,,,,,,       1.5
김포,441,07-03,      23.2,      27.2,      20.3,      12.6,,,,,,,       1.8
하남,444,07-03,      24.0,      28.6,      20.5,      11.3,,,,,,,       0.8
의왕,445,07-03,      23.0,      27.2,      19.8,      14.8,,,,,,,       1.0
포천,504,07-03,      24.1,      29.0,      20.1,      13.4,,,,,,,       1.4
가평조종,505,07-03,      22.9,      27.9,      18.8,      13.5,,,,,,,       1.0
영등포,510,07-03,      24.9,      29.0,      22.0,      12.2,,,,,,,       1.7
인천연수,512,07-03,      23.8,      27.9,      20.9,      11.5,,,,,,,       1.6
안성,516,07-03,      24.4,      29.1,      20.9,      10.9,,,,,,,       1.2
간성,517,07-03,      22.4,      26.1,      19.1,      11.3,,,,,,,       1.3
평창,526,07-03,      22.1,      27.2,      18.4,      14.8,,,,,,,       1.1
의정부,532,07-03,      23.8,      28.4,      20.2,      13.7,,,,,,,       1.0
횡성,536,07-03,      23.5,      28.9,      19.6,      15.2,,,,,,,       1.0
고양,540,07-03,      23.8,      28.7,      20.0,      12.1,,,,,,,       1.2
남양주,541,07-03,      23.8,      28.7,      19.9,      14.2,,,,,,,       1.0
안산,545,07-03,      23.5,      28.2,      19.8,      12.2,,,,,,,       1.6
경기광주,546,07-03,      23.7,      28.3,      20.2,      13.2,,,,,,,       1.5
여주,548,07-03,      23.8,      28.6,      20.2,      11.2,,,,,,,       1.1
용인,549,07-03,      23.6,      28.1,      19.9,      14.6,,,,,,,       1.4
오산,550,07-03,      24.0,      28.8,      20.6,      12.5,,,,,,,       1.2
평택,551,07-03,      24.5,      29.2,      21.0,      11.1,,,,,,,       1.6
화천,555,07-03,      23.3,      29.0,      19.2,      12.9,,,,,,,       0.9
양구,556,07-03,      22.8,      28.4,      18.9,      12.8,,,,,,,       1.0
시흥,565,07-03,      23.8,      27.9,      21.0,      11.2,,,,,,,       1.7
구리,569,07-03,      24.4,      29.0,      20.9,      14.3,,,,,,,       1.3
금곡,570,07-03,      23.1,      27.2,      20.0,      11.9,,,,,,,       1.4
화성,571,07-03,      23.5,      27.8,      20.4,      10.7,,,,,,,       1.4
성남,572,07-03,      24.6,      28.9,      21.2,      13.8,,,,,,,       1.2
과천,590,07-03,      24.0,      28.5,      20.4,      15.0,,,,,,,       1.8
진부령,595,07-03,      20.3,      24.5,      17.1,      12.0,,,,,,,       2.6
양주,598,07-03,      23.9,      28.7,      19.9,      12.5,,,,,,,       1.5
단양,601,07-03,      23.7,      29.0,      19.7,      11.0,,,,,,,       0.8
진천,602,07-03,      23.4,      28.3,      19.6,      11.7,,,,,,,       1.1
괴산,603,07-03,      23.4,      28.2,      19.7,      13.3,,,,,,,       1.1
옥천,604,07-03,      23.9,      28.6,      20.3,      12.8,,,,,,,       1.0
세종연서,611,07-03,      23.5,      28.4,      20.1,      13.4,,,,,,,       1.2
공주,612,07-03,      24.1,      28.7,      20.6,      13.8,,,,,,,       1.4
서천,614,07-03,      23.7,      27.4,      21.0,      13.3,,,,,,,       2.1
논산,615,07-03,      24.1,      28.5,      21.0,      13.2,,,,,,,       1.5
